track_id,forecast_time,valid_time_est,lead_time,center_lat,center_lon,cone_radius_km,estimated_population_exposed,risk_score,region_proxy
MELISSA,2025-10-31 00:00:00+00:00,2025-11-03 00:00:00+00:00,72,56.65490196078431,-29.2078431372549,344.93247474347163,301446.5267187779,51.926097622714984,R_14_15
MELISSA,2025-10-30 00:00:00+00:00,2025-11-03 00:00:00+00:00,96,56.2795918367347,-28.70612244897959,459.8178194939045,408643.70075762656,52.87687923493856,R_14_15
KALMAEGI,2025-11-03 00:00:00+00:00,2025-11-03 06:00:00+00:00,6,10.621568627450982,127.28039215686276,146.43896346281323,547739.8767510363,71.25322219567028,R_10_30
KALMAEGI,2025-11-02 18:00:00+00:00,2025-11-03 06:00:00+00:00,12,10.507843137254902,127.30784313725492,167.83462749625812,651528.1419955108,71.76944011071058,R_10_30
MELISSA,2025-10-30 06:00:00+00:00,2025-11-03 06:00:00+00:00,96,57.42127659574467,-25.65531914893617,450.8025772087466,374419.17582433874,52.60354347047923,R_14_15
KALMAEGI,2025-11-03 06:00:00+00:00,2025-11-03 12:00:00+00:00,6,10.801960784313724,126.20196078431373,174.5772951597216,626580.8412676308,71.58170511645925,R_10_30
KALMAEGI,2025-11-03 00:00:00+00:00,2025-11-03 12:00:00+00:00,12,10.5921568627451,125.93529411764706,171.06669203089112,564618.4118576203,71.30757960875054,R_10_30
KALMAEGI,2025-11-02 12:00:00+00:00,2025-11-03 12:00:00+00:00,24,10.562745098039215,126.3921568627451,195.1327058066001,724627.2241118668,72.2005889367686,R_10_30
KALMAEGI,2025-11-01 12:00:00+00:00,2025-11-03 12:00:00+00:00,48,10.44313725490196,127.55882352941178,239.3946641472698,879775.1472051824,72.81260583506668,R_10_30
MELISSA,2025-10-31 12:00:00+00:00,2025-11-03 12:00:00+00:00,72,57.621568627450976,-25.703921568627457,333.01502177603646,280264.2111629388,51.698411301817714,R_14_15
MELISSA,2025-10-30 12:00:00+00:00,2025-11-03 12:00:00+00:00,96,58.395918367346944,-21.79591836734694,416.8042258117856,269699.8790550527,51.57833990157344,R_14_15
KALMAEGI,2025-11-03 12:00:00+00:00,2025-11-03 18:00:00+00:00,6,10.660784313725491,124.80588235294118,116.58083185961164,292058.48096906964,69.24634003326767,R_10_30
KALMAEGI,2025-11-03 06:00:00+00:00,2025-11-03 18:00:00+00:00,12,10.878431372549022,124.69411764705885,175.26418843249354,587003.966877707,71.33937600279057,R_10_30
KALMAEGI,2025-11-02 18:00:00+00:00,2025-11-03 18:00:00+00:00,24,10.423529411764704,124.74313725490197,233.79324643943943,1109459.3686704144,73.54185126202796,R_10_30
KALMAEGI,2025-11-01 18:00:00+00:00,2025-11-03 18:00:00+00:00,48,10.543137254901962,125.80392156862744,231.7506042456885,1019460.9726490536,73.31753648128583,R_10_30
MELISSA,2025-10-30 18:00:00+00:00,2025-11-03 18:00:00+00:00,96,59.21904761904763,-21.804761904761907,496.337982354092,302878.88205313456,51.94091117820396,R_14_15
KALMAEGI,2025-11-03 18:00:00+00:00,2025-11-04 00:00:00+00:00,6,10.754901960784316,123.15098039215684,119.38095982745072,523253.4898689683,70.91378738870246,R_10_30
KALMAEGI,2025-11-03 12:00:00+00:00,2025-11-04 00:00:00+00:00,12,10.79411764705882,123.37058823529412,120.36862634915066,301883.71327365394,69.16252435427009,R_10_30
KALMAEGI,2025-11-03 00:00:00+00:00,2025-11-04 00:00:00+00:00,24,10.658823529411766,123.23725490196075,202.8296009935891,1037312.6866748784,73.16390753214309,R_10_30
KALMAEGI,2025-11-02 00:00:00+00:00,2025-11-04 00:00:00+00:00,48,10.715686274509803,124.2372549019608,296.45048062712823,1508474.4559353446,74.44636140908779,R_10_30
MELISSA,2025-10-31 00:00:00+00:00,2025-11-04 00:00:00+00:00,96,59.13255813953487,-23.313953488372096,317.54825054682306,195675.33892162083,50.57567887883907,R_14_15
KALMAEGI,2025-11-04 00:00:00+00:00,2025-11-04 06:00:00+00:00,6,10.845098039215683,122.27058823529411,117.17910752882776,597689.6974678372,71.28326963313694,R_10_30
KALMAEGI,2025-11-03 18:00:00+00:00,2025-11-04 06:00:00+00:00,12,10.819607843137254,121.90392156862744,156.34153793250985,905745.993657114,72.5682148082018,R_10_30
KALMAEGI,2025-11-03 06:00:00+00:00,2025-11-04 06:00:00+00:00,24,10.917647058823528,122.1372549019608,203.84263164874204,1107771.0319518535,73.19099166820101,R_10_30
KALMAEGI,2025-11-04 06:00:00+00:00,2025-11-04 12:00:00+00:00,6,10.970588235294118,121.20980392156864,111.31770536962586,441019.4198016883,70.27536760583163,R_10_30
KALMAEGI,2025-11-04 00:00:00+00:00,2025-11-04 12:00:00+00:00,12,11.0921568627451,121.2745098039216,134.5596206046054,705690.2714683707,71.68892311750157,R_10_30
KALMAEGI,2025-11-03 12:00:00+00:00,2025-11-04 12:00:00+00:00,24,11.011764705882356,121.04117647058824,160.80586039613877,980451.1827267964,72.68577987868741,R_10_30
KALMAEGI,2025-11-02 12:00:00+00:00,2025-11-04 12:00:00+00:00,48,10.93529411764706,121.4313725490196,317.4333247151457,1855537.6522649964,74.67074566964996,R_10_30
KALMAEGI,2025-11-01 12:00:00+00:00,2025-11-04 12:00:00+00:00,72,10.4,123.074,357.93466825743695,2112098.1355707385,75.36122789131832,R_10_30
MELISSA,2025-10-31 12:00:00+00:00,2025-11-04 12:00:00+00:00,96,59.23,-20.307499999999997,488.9944564636361,254616.94041471023,51.39849821163711,R_14_15
KALMAEGI,2025-11-04 12:00:00+00:00,2025-11-04 18:00:00+00:00,6,11.098039215686274,120.17450980392158,83.37565062424395,362008.12864308234,69.5148929857806,R_10_30
KALMAEGI,2025-11-04 06:00:00+00:00,2025-11-04 18:00:00+00:00,12,11.43137254901961,120.2745098039216,139.73424661823026,923564.0887395184,72.30612780550108,R_10_30
KALMAEGI,2025-11-03 18:00:00+00:00,2025-11-04 18:00:00+00:00,24,11.488235294117649,119.7470588235294,205.94599892140968,1288235.4932804108,73.23033183095065,R_10_29
KALMAEGI,2025-11-02 18:00:00+00:00,2025-11-04 18:00:00+00:00,48,11.202,120.254,290.1561720531748,1959758.6685022984,74.63947492886368,R_10_30
KALMAEGI,2025-11-01 18:00:00+00:00,2025-11-04 18:00:00+00:00,72,11.101960784313729,121.18823529411766,348.33990697638757,2132855.373144148,75.02449883168076,R_10_30
KALMAEGI,2025-11-04 18:00:00+00:00,2025-11-05 00:00:00+00:00,6,11.366666666666667,119.10392156862746,99.97989438522087,649126.1882982386,71.08985125186403,R_10_29
KALMAEGI,2025-11-04 12:00:00+00:00,2025-11-05 00:00:00+00:00,12,11.53529411764706,119.11764705882354,111.66282051825137,695077.9880793157,71.26381362424539,R_10_29
KALMAEGI,2025-11-04 00:00:00+00:00,2025-11-05 00:00:00+00:00,24,11.88235294117647,118.8941176470588,172.5853921132627,1227952.0054727558,72.85017270103423,R_10_29
KALMAEGI,2025-11-03 00:00:00+00:00,2025-11-05 00:00:00+00:00,48,11.94705882352941,118.6470588235294,312.9947863310504,2379524.3594979746,74.84188876482575,R_10_29
KALMAEGI,2025-11-02 00:00:00+00:00,2025-11-05 00:00:00+00:00,72,11.478000000000002,120.044,438.8649572568296,3296459.330345072,76.08704250524765,R_10_30
KALMAEGI,2025-11-05 00:00:00+00:00,2025-11-05 06:00:00+00:00,6,11.768627450980391,117.57843137254902,84.13247139642935,315679.0269201937,68.63504067816744,R_10_29
KALMAEGI,2025-11-04 18:00:00+00:00,2025-11-05 06:00:00+00:00,12,11.93137254901961,117.84117647058822,120.26792093602673,747293.7792827421,71.17343487112404,R_10_29
KALMAEGI,2025-11-04 06:00:00+00:00,2025-11-05 06:00:00+00:00,24,12.32156862745098,117.58235294117648,175.87805311293593,1343919.1496375478,72.82757344777639,R_10_29
KALMAEGI,2025-11-03 06:00:00+00:00,2025-11-05 06:00:00+00:00,48,12.136,117.416,269.72565954376853,2176043.747739267,74.3465683282729,R_10_29
KALMAEGI,2025-11-05 06:00:00+00:00,2025-11-05 12:00:00+00:00,6,12.311764705882355,116.17647058823532,111.63458808095368,955296.0366486186,71.60188473988313,R_10_29
KALMAEGI,2025-11-05 00:00:00+00:00,2025-11-05 12:00:00+00:00,12,12.35686274509804,116.28235294117648,104.53738019794532,955296.0366486186,71.60188473988313,R_10_29
KALMAEGI,2025-11-04 12:00:00+00:00,2025-11-05 12:00:00+00:00,24,12.423529411764706,116.33921568627451,172.79886326457833,1457714.7172367333,72.92936542118102,R_10_29
KALMAEGI,2025-11-03 12:00:00+00:00,2025-11-05 12:00:00+00:00,48,12.294117647058824,116.3,235.09211188411547,2201651.7064626785,74.17706446337367,R_10_29
KALMAEGI,2025-11-02 12:00:00+00:00,2025-11-05 12:00:00+00:00,72,12.360784313725487,116.80196078431374,408.3291031983976,5664179.556939765,77.16786673604071,R_10_29
KALMAEGI,2025-11-01 12:00:00+00:00,2025-11-05 12:00:00+00:00,96,11.578,119.20199999999998,536.6427483186716,4690809.308817857,76.823816155737,R_10_29
KALMAEGI,2025-11-05 12:00:00+00:00,2025-11-05 18:00:00+00:00,6,13.047058823529412,114.46274509803922,88.13160399506575,1353344.9131287418,72.3794824694662,R_10_29
KALMAEGI,2025-11-05 06:00:00+00:00,2025-11-05 18:00:00+00:00,12,12.823529411764708,114.6235294117647,119.5991805489152,1792582.042189404,73.34259691934338,R_10_29
KALMAEGI,2025-11-04 18:00:00+00:00,2025-11-05 18:00:00+00:00,24,12.748,114.672,162.8853057818699,2728927.8485857826,74.67607097184857,R_10_29
KALMAEGI,2025-11-03 18:00:00+00:00,2025-11-05 18:00:00+00:00,48,12.858823529411763,114.58039215686276,241.25194757497417,6023130.265911328,77.09041158765271,R_10_29
KALMAEGI,2025-11-02 18:00:00+00:00,2025-11-05 18:00:00+00:00,72,12.503999999999998,115.238,383.22215715553983,8771927.414956111,78.24842736912584,R_10_29
KALMAEGI,2025-11-01 18:00:00+00:00,2025-11-05 18:00:00+00:00,96,12.584313725490196,116.40980392156862,484.2042022385857,9078343.73879008,78.38838749245843,R_10_29
FUNG-WONG,2025-11-05 18:00:00+00:00,2025-11-06 00:00:00+00:00,6,9.74,140.60399999999998,204.6667425348673,315879.0395647486,69.91620479361924,R_9_32
KALMAEGI,2025-11-05 18:00:00+00:00,2025-11-06 00:00:00+00:00,6,13.188235294117645,112.4921568627451,79.18722732659958,1864252.933709428,73.2777675740804,R_10_29
